Implmtd.,Name,Short Description,Extended description
FALSE,Pinch Hitter,"If all of your other pokemon have fainted, this pokemon transforms.","If this Pokemon is the last Pokemon on your team who does not have the fainted status, then it transforms."
FALSE,Quick Protector,Protective status moves become extremely fast.,"Reflect, Light Screen, Aurora Veil, Safeguard, and Lucky Chant have +5 priority."
FALSE,Resonate,Cancel and counter sound-based moves.,"Any sound-based move not used by this pokemon is prevented, then this creature reflects 25% of the damage that would have been dealt from that move back towards the user of that move as typeless sound-based damage."
FALSE,Amplifier,Sound-based moves deal a bonus damage.,Sound based moves deal x1.5 damage.
FALSE,Smoocher,Kiss-based moves deal double damage.,Moves with 'kiss' in their title or that imply kissing deal double damage.
FALSE,Dizzying Step,"When confused, gains bonus physical damage",While confused the user deals an additional x1.5 damage with physical moves and are less likely to hurt themselves in confusion.
FALSE,Rivalry,"If this pokemon sees its rival, it readies itself for a fight.","If this creature's rival pokemon is on the field when it enters or when its rival pokemon enters the field for the first time, its Defense stage, Special Defense stage, and Speed stage all increase by 1. This effect can trigger once, resetting only if this pokemon is swapped out."
FALSE,Massive Stinger,Powers up Bug-Type moves and increases their critical hit chance.,Bug type moves deal x1.5 damage and their critical hit chance is doubled.
TRUE,Night Operative,This pokemon will always wake up when it is needed.,"If a move other than snore or sleep talk is selected while this pokemon is asleep, it will always wake up to use that move."
FALSE,Critical Parry,Counters OHKO from a critical hit.,"If this creature is at full health and would be fainted by a damage dealing critical hit, it hangs on with 1 HP then immediately activates the move Counter. Multihit moves are interrupted. (continue if not dead? let the engine decide)"
FALSE,Berrymade,Berries are more effective and are used earlier.,Ripen + Gluttony
FALSE,Hyper Cutter,Prevents Attack reduction and boosts pincer moves.,"Prevents other pokemon from lowering the Attack stage of this pokemon. Additionally, moves that are pincer-based (metal claw, crunch, crabhammer, and vice grip) deal x1.3 damage."
FALSE,Stench,Attacks may cause flinch and all berries are less effective.,Attacks have a 10% chance to flinch and any berries consumed while this pokemon is on the field have their effect reduced by 50%. Poison types are immune to this ability.
FALSE,Iron Fist,Punching moves are boosted and are unaffected by Reflect.,Punching moves deal x1.2 damage and are not reduced in damage by Reflect.
FALSE,Hydration,Heals Pokemon and cures status condition in the rain.,"During rain, this Pokemon will heal 1/16th of its health back at the end of each turn, and will then have a 50% chance of curing any status conditions."
FALSE,Leaf Guard,Prevents status condition and lowering status while in sunlight.,"During sunlight, this Pokemon cannot recieve a status condition or have any of its stat stages lowered."
FALSE,Ice Body,The Pokemon will restore it's health while it is snowing.,"During snow or hail, this Pokemon regains 1/8th of it's health at the end of each turn. This also prevents damage from hail if a Pokemon would otherwise be hurt by it."
FALSE,Heavy Metal,Doubles a Pokemon's weight and somewhat increases defense.,Double a Pokemon's weight. It gains a x1.3 increase to its Defense.
TRUE,Light Metal,Halves a Pokemon's weight and slightly increases speed.,Halve a Pokemon's weight. It's Speed stats gain a x1.1 increase.
FALSE,Immunity,The Pokemon cannot be Poisoned or Paralyzed.,
FALSE,Clear Body,Cannot be Poisoned and stats cannot be lowered.,
FALSE,Illuminate,"Accuracy cannot be lowered, and on swap in resets evasion.","This Pokemon's accuracy cannot be lowered, and when it swaps in all Pokemon on the field have their Evasion stage set to 0."
FALSE,Early Bird,"Awakens quickly from sleep, gaining a speed boost when doing so.","This Pokemon takes half the number of turns to wake up from the Sleep status. When this Pokemon awakens, it gains an increase to its Speed stage."
FALSE,Great Harvest,May create another Berry for itself or an ally after one is used.,"If the Pokemon or its ally has used a Berry, there is a 50% chance of it being restored at the end of each turn."
FALSE,Magma Armor,Lava-hot armor lets this Pokemon resist the cold.,"Prevents the frozen and frostbite status, prevents damage from hail, and halves damage from Ice-type moves."
FALSE,Overcoat,"Prevents from Burn, Frozen, Frostbite, and damage from weather.","Prevents the burn, frozen, and frostbite status, and also stops any damage that might have been dealt to the Pokemon from any kind of weather."
FALSE,Magnet Pull,Traps and grounds Steel-type Pokemon.,"Any Steel-type Pokemon on the field, including allies but excluding this Pokemon, are prevented from switching out and are forced to be grounded if they were not already so."
FALSE,Rain Dish,"Boosts Water-Type moves. If it is not raining, this will hurt the Pokemon.","Water-type moves deal x1.2 damage, but those moves cost the user 10% of their health. However during rain, this penalty is removed."
FALSE,Hustle,Boosts the Attack stat but causes inaccurate moves to always miss.,"The Pokemon gains a x1.3 boost to its Attack stat, but any move without 100% hit chance or '-' accuracy will always miss. This ability is affected by changes to this Pokemon's Accuracy, but is not affected by the opposing Pokemon's Evasion."
TRUE,Marvel Scale,"Ups defenses when afflicted, and removes afflictions after being hit.","The Pokemon gains a x1.5 boost to Defense and Special Defense if it has a status condition. After being hit and dealt damage by a move used by another Pokemon, it removes any affliction it had."
FALSE,Mold Breaker,Ignores the effects of most abilities when attacking.,Mold Breaker + it also ignores contact abilities like Static.
FALSE,Jump In,Does best when replacing a fainted Pokemon.,"If this Pokemon is selected to replace a Pokemon who fainted, it firstly inherets any positive stat stage boosts the fainted Pokemon had, then secondly its Speed is boosted by 1 stage."
FALSE,Toggle Mode,"At the end of every turn, swap Attack and Special Attack","Attack and Special Attack are swapped at the end of every turn. This is not remembered when swapping out, so the first turn this Pokemon is on the field it will always have its original stats."
FALSE,Analytic,Boosts power greatly if Pokemon moves last.,"If this pokemon executes its move after all other Pokemon have made their move, that move gains a x1.75 boost to its power."
FALSE,Corrupted,Contact with this Pokemon may change other Pokemon's type.,"There is a 50% chance that any Pokemon that makes contact with this Pokemon will have one of it's non-Normal-types changed to Normal-type. If it is a Psychic-type, that chance becomes 100% and this will always change the Psychic-type to Normal-type if the target has more than one type."
FALSE,Bloom Spores,"When this Pokemon Blooms, it spreads to all creatures on the field.","When this Pokemon gains the Blooming status, all other Pokemon on the field also gain the Blooming status."
FALSE,Petal Skating,Speed is sharply raised when this Pokemon begins Blooming.,"When this Pokemon gains the Blooming status, its Speed is raised by 2 stages. If this Pokemon is not a Grass-type, its Speed is not reduced by Blooming and it is not prevented from swapping, but it does not regenerate health at the end of each turn."
FALSE,Budding,This Pokemon gains and boosts the Grass-type when Blooming.,"When Blooming, this creature becomes a Grass-type, and Grass-type moves gain a x1.2 power boost."
FALSE,Keen Eye,Prevents missing from Accuracy and Evasion and boosts critical chance.,"The Pokémon's keen eyes prevent its accuracy from being lowered. It also ignores the target's stages in evasion. Additionally, critical hits are 50% more likely to occur."
