Hoenn #,Implemented,Name,Type 1,Type 2,Fossil,Aquire Method 1,,Aquire Method 2,,HP,Attack,Defense,SpAttack,SpDefense,Speed,Total,Ability 1,Ability 2,Hidden Ability,Attack Changes,,,,,,,
1,FALSE,Treecko,Grass,,Wood Gecko,Starter,,Gift,Post-game,40,45,35,65,55,70,310,Overgrow,Unburden,Petal Skating,,,,,,,,
2,FALSE,Grovyle,Grass,,,Evolve,,,,50,65,45,85,65,95,405,Overgrow,Unburden,Petal Skating,,,,,,,,
3,FALSE,Sceptile,Grass,Psychic,,Evolve,,,,70,85,65,105,85,120,530,Overgrow,Unburden,Petal Skating,Evo: Psychic,48: Psycho Cut,,,,,,
4,FALSE,Litten,Fire,,Fire Cat,Starter,,,,45,65,40,60,40,70,320,Blaze,Intimidate,Iron Fist,,,,,,,,
5,FALSE,Torracat,Fire,,,Evolve,,,,65,85,50,80,50,90,420,Blaze,Intimidate,Iron Fist,,,,,,,,
6,FALSE,Incineroar,Fire,Fighting,,Evolve,,,,95,115,90,80,90,60,530,Blaze,Intimidate,Iron Fist,,,,,,,,
7,FALSE,Totodile,Water,,Big Jaw,Starter,,,,50,65,64,44,48,43,314,Torrent,Sheer Force,Strong Jaw,,,,,,,,
8,FALSE,Croconaw,Water,,,Evolve,,,,65,80,80,59,63,58,405,Torrent,Sheer Force,Strong Jaw,,,,,,,,
9,FALSE,Feraligatr,Water,Dark,,Evolve,,,,85,105,100,79,83,78,530,Torrent,Sheer Force,Strong Jaw,36: Jaw Lock,,,,,,,
10,FALSE,Ledyba,Bug,Flying,Ladybug,Catch,Route 114,,,40,20,30,40,80,55,265,Swarm,Early Bird,Rattled,,,,,,,,
11,FALSE,Ledian,Bug,Flying,,Evolve,Level 18 Ledyba,Catch,Route 114,55,35,50,55,110,85,390,Protector,Friend Guard,Pinch Hitter,Evo: Chitin Fist,Struggle Bug ->Skitter Smack,31: Bounce,,,,,
F,FALSE,Toku Ledian,Bug,Fighting,,Ability,Pinch Hitter,,,55,175,50,55,110,170,615,Iron Fist,,,,,,,,,,
12,FALSE,Cutiefly,Bug,Fairy,Bee Fly,Catch,Route 114,,,40,45,40,55,40,84,304,Honey Gather,Shield Dust,Sweet Veil,,,,,,,,
13,FALSE,Ribombee,Bug,Fairy,,Evolve,,Catch,Route 115,60,55,60,95,70,124,464,Honey Gather,Shield Dust,Marvel Scale,,,,,,,,
14,FALSE,Volbeat,Bug,,Firefly (Male),Catch,Route 114,,,75,98,75,47,95,85,475,Illuminate,Swarm,Prankster,,,,,,,,
15,FALSE,Illumise,Bug,,Firefly (Female),Catch,Route 114,,,75,47,75,98,95,85,475,Oblivious,Tinted Lens,Prankster,,,,,,,,
16,FALSE,Scyther,Bug,Flying,Mantis,Catch,Route 113,,,70,110,80,55,80,105,500,Sharpness,Technician,Rivalry,,,,,,,,
17,FALSE,Scizor,Bug,Steel,,Evolve,,,,70,130,100,55,80,65,500,Hyper Cutter,Technician,Light Metal,,,,,,,,
18,FALSE,Kleavor,Bug,Rock,,Evolve,,,,70,135,95,45,70,85,500,Sharpness,Sheer Force,Rock Head,,,,,,,,
19,FALSE,Tarountula,Bug,,String Ball,Catch,Route 101,,,35,41,45,29,40,40,230,Insomnia,Stakeout,Rivalry,,,,,,,,
20,FALSE,Spidops,Bug,Dark,,Evolve,,Catch,,95,89,92,32,86,81,475,Night Operative,Stakeout,Rivalry,,,,,,,,
21,FALSE,Nymble,Bug,,Grasshopper,Catch,Route 115,,,33,46,40,21,25,45,210,Swarm,,Tinted Lens,,,,,,,,
22,FALSE,Lokix,Bug,Dark,,Evolve,,Catch,Route 115,71,102,78,52,55,92,450,Swarm,,Tinted Lens,,,,,,,,
23,FALSE,Burmy Plant,Bug,,Bagworm,Catch,Route 101,,,40,29,45,29,45,36,224,Shed Skin,Swarm,Overcoat,,,,,,,,
F,FALSE,Burmy Sandy,Bug,,,,,,,40,29,45,29,45,36,224,Shed Skin,Swarm,Overcoat,,,,,,,,
F,FALSE,Burmy Trash,Bug,,,,,,,40,29,45,29,45,36,224,Shed Skin,Swarm,Overcoat,,,,,,,,
24,FALSE,Mothim,Bug,Flying,,Evolve,,,,70,94,50,94,50,77,435,Compound Eyes,Tinted Lens,Honey Gather,,,,,,,,
25,FALSE,Wormadam Plant,Bug,Grass,,Evolve,,,,71,59,85,79,105,36,435,Anticipation,Overcoat,Cocooned,,,,,,,,
F,FALSE,Wormadam Sandy,Bug,Ground,,Evolve,,,,71,79,105,59,85,36,435,Anticipation,Overcoat,Cocooned,,,,,,,,
F,FALSE,Wormadam Trash,Bug,Steel,,Evolve,,,,71,69,95,69,95,36,435,Anticipation,Overcoat,Cocooned,,,,,,,,
26,FALSE,Combee,Bug,Flying,Tiny Bee,Catch,,,,30,30,42,30,42,70,244,Honey Gather,Hustle,Silly Rascal,,,,,,,,
27,FALSE,Vespiquen,Bug,Flying,,Evolve,Level 21 Female Combee,,,70,80,102,80,102,40,474,Pressure,Unnerve,Queenly Majesty,,,,,,,,
28,FALSE,Walovbees,Bug,,,Evolve,Level 21 Male Combee after Double Battle with Vespiquen ally,,,180,30,42,30,42,39,363,Queen's Orders,,,Learnable: Trick Room,,,,,,,
29,FALSE,Blipbug,Bug,,Larva,Evolve,,,,25,20,20,25,45,45,180,Swarm,Compound Eyes,Telepathy,,,,,,,,
30,FALSE,Dottler,Bug,Psychic,,Evolve,,Catch,,50,35,80,50,90,30,335,Swarm,Compound Eyes,Telepathy,,,,,,,,
31,FALSE,Orbeetle,Bug,Psychic,,Evolve,,,,70,20,110,105,110,90,505,Telepathy,Frisk,Toggle Mode,,,,,,,,
32,FALSE,Joltik,Bug,Electric,Attached,Catch,,,,50,47,50,57,50,65,319,Compound Eyes,Unnerve,Swarm,,,,,,,,
33,FALSE,Galvantula,Bug,Electric,,Evolve,,,,70,77,60,97,60,107,471,Compound Eyes,Unnerve,Swarm,,,,,,,,
34,FALSE,Paras,Bug,Grass,Bug Shroom,Catch,,,,35,70,55,45,55,25,285,Effect Spore,Dry Skin,Effect Spore,,,,,,,,
35,FALSE,Parasect,Bug,Grass,,Evolve,,Catch,,60,95,80,60,80,30,405,Effect Spore,Dry Skin,Damp,,,,,,,,
36,FALSE,Sizzlipede,Fire,Bug,Radiator,Catch,,,,50,65,45,50,50,45,305,Flash Fire,White Smoke,Flame Body,,,,,,,,
37,FALSE,Centiskorch,Fire,Bug,,Evolve,,,,100,115,65,90,90,65,525,Flash Fire,White Smoke,Flame Body,,,,,,,,
38,FALSE,Weedle,Bug,Poison,Hairy Bug,Catch,Route 102,,,40,35,30,20,20,50,195,Shield Dust,,Run Away,,,,,,,,
39,FALSE,Kakuna,Bug,Poison,,Evolve,,Catch,Petalburg Woods,45,25,50,25,25,35,205,Shed Skin,,,,,,,,,,
40,FALSE,Beedrill,Bug,Poison,,Evolve,,,,65,110,60,30,60,110,435,Technician,Massive Stinger,Rivalry,,,,,,,,
41,FALSE,Teddiursa,Normal,,,Catch,Petalburg Woods,,,60,80,50,50,50,40,330,Pickup,Quick Feet,Honey Gather,12: Honey Share,,,,,,,
42,FALSE,Ursaring,Normal,,,Evolve,,Catch,,90,125,80,75,75,55,500,Guts,Quick Feet,Rivalry,Evo: Honey Hoard,,,,,,,
43,FALSE,Ursaluna,Normal,Ground,,Evolve,,,,130,125,110,55,80,50,550,Guts,Bulletproof,Rivalry,,,,,,,,
44,FALSE,Farfetchd,Normal,Flying,Wild Duck,Catch,Route 102,,,72,75,66,48,72,60,393,Inner Focus,Scrappy,Critical Parry,,,,,,,,
45,FALSE,Zigzagoon,Normal,,Tiny Raccoon,Catch,Route 101,,,38,30,41,30,41,60,240,Pickup,Gluttony,Quick Feet,,,,,,,,
46,FALSE,Linoone,Normal,,,Evolve,,Catch,,78,70,61,50,61,100,420,Pickup,Gluttony,Quick Feet,,,,,,,,
47,FALSE,Sentret,Normal,,Scout Tail,Catch,,,,35,46,34,35,45,20,215,Run Away,Run Away,Run Away,,,,,,,,
48,FALSE,Furret,Normal,,,Evolve,,Catch,,95,76,74,45,62,102,454,Run Away,Keen Eye,Frisk,21: After You,,,,,,,
49,FALSE,Patrat,Normal,,Lookout Rat,Catch,,,,45,55,39,35,39,42,255,Illuminate,Keen Eye,Analytic,,,,,,,,
50,FALSE,Watchog,Normal,,,Evolve,,Catch,,60,85,69,60,69,77,420,Illuminate,Keen Eye,Analytic,,,,,,,,
51,FALSE,Yungoos,Normal,,Loiter Weasel,Catch,,,,48,70,30,30,30,45,253,Stakeout,Strong Jaw,Stakeout,,,,,,,,
52,FALSE,Gumshoos,Normal,,,Evolve,,,,108,110,75,55,75,45,468,Stakeout,Night Operative,Strong Jaw,,,,,,,,
53,FALSE,Meowth,Normal,,Scratch Cat,Catch,Rustboro City,,,40,45,35,40,40,90,290,Pickup,Technician,Unnerve,,,,,,,,
54,FALSE,Persian,Normal,,,Evolve,,Catch,,65,70,60,65,65,115,440,Limber,Technician,Unnerve,,,,,,,,
55,FALSE,Tandemaus,Normal,,Coupled,Catch,Route 102,,,50,50,45,40,45,75,305,Run Away,Pickup,Own Tempo,,,,,,,,
56,FALSE,Maushold Three,Normal,,,Evolve,,,,74,75,70,65,75,111,470,Friend Guard,Cheek Pouch,Technician,,,,,,,,
F,FALSE,Maushold Four,Normal,,,Evolve,,,,74,75,70,65,75,111,470,Friend Guard,Cheek Pouch,Technician,,,,,,,,
57,FALSE,Snubbull,Fairy,,,,,,,60,80,50,40,40,30,300,Intimidate,Run Away,Rattled,,,,,,,,
58,FALSE,Granbull,Fairy,,,,,,,90,120,75,60,60,45,450,Intimidate,Quick Feet,Rattled,,,,,,,,
59,FALSE,Whismur,Normal,,Whispering,Catch,Desert Underpass,,,64,51,23,51,23,28,240,Scrappy,,Rattled,,,,,,,,
60,FALSE,Loudred,Normal,,,Evolve,,Catch,Desert Underpass,84,71,43,71,43,28,340,Soundproof,Scrappy,Soundproof,,,,,,,,
61,FALSE,Exploud,Normal,,,Evolve,,,,114,76,93,101,63,33,480,Soundproof,Scrappy,Amplifier,Learnable: Trick Room,,,,,,,
62,FALSE,Spinda,Normal,,Spot Panda,Catch,Route 113,,,85,95,75,10,65,30,360,Own Tempo,Tangled Feet,Dizzying Step,,,,,,,,
63,FALSE,Zangoose,Normal,Dark,Cat Ferret,Catch,,,,73,115,60,65,70,95,478,Tough Claws,Toxic Boost,Rivalry,,,,,,,,
64,FALSE,Seviper,Poison,,Fang Snake,Catch,,,,73,100,90,70,80,65,478,Sharpness,Infiltrator,Rivalry,,,,,,,,
65,FALSE,Zubat,Poison,Flying,Bat Fang,Catch,Granite Cave 1F,,,40,45,35,30,40,55,245,Inner Focus,,Infiltrator,,,,,,,,
66,FALSE,Golbat,Poison,Flying,,Evolve,,Catch,,75,80,70,65,75,90,455,Inner Focus,,Infiltrator,,,,,,,,
67,FALSE,Crobat,Poison,Flying,,Evolve,,,,85,90,80,70,80,130,535,Inner Focus,,Infiltrator,,,,,,,,
68,FALSE,Nidoran F,Poison,,Poison Pin (Female),Catch,,,,55,47,52,40,40,41,275,Poison Point,Rivalry,Hustle,,,,,,,,
69,FALSE,Nidorina,Poison,,,Evolve,,Catch,,70,62,67,55,55,56,365,Poison Point,Rivalry,Hustle,,,,,,,,
70,FALSE,Nidoqueen,Poison,Ground,,Evolve,,,,90,92,87,75,85,76,505,Poison Point,Rivalry,Sheer Force,,,,,,,,
